year,month,time_x,lat,lon,monthly_avg_tp,Rainfall_cm_0,Rainfall_cm_1,Rainfall_cm_2,Rainfall_cm_3,monthly_avg_observed,time_y,obs_Rainfall_mm,Forecast_Rainfall_mm
2000,5,2000-05-01,26.925,-80.85,0.000312061075,0.0,0.00983225806451613,0.07783870967741935,0.00901290322580645,0.024170967741935483,2000-05-16 00:00:00,0.24170967741935484,0.312061075
2000,6,2000-06-01,26.925,-80.85,0.00283422775,0.26924000000000003,0.42502666666666666,0.38777333333333336,0.31834666666666667,0.35009666666666667,2000-06-15 12:00:00,3.500966666666667,2.83422775
2000,7,2000-07-01,26.925,-80.85,0.005062698133333333,0.505541935483871,0.24170967741935484,0.19746451612903226,0.30398064516129036,0.3121741935483871,2000-07-16 00:00:00,3.121741935483871,5.062698133333333
2000,8,2000-08-01,26.925,-80.85,0.0032625414333333335,0.41623225806451614,0.05735483870967742,0.2171290322580645,0.20483870967741935,0.22388870967741936,2000-08-16 00:00:00,2.2388870967741936,3.2625414333333334
2000,9,2000-09-01,26.925,-80.85,0.004509894833333333,0.7365999999999999,0.2700866666666667,0.28956,0.39708666666666664,0.4233333333333334,2000-09-15 12:00:00,4.233333333333334,4.509894833333333
2000,10,2000-10-01,26.925,-80.85,0.002542622866666667,0.1351935483870968,0.07865806451612904,0.1605935483870968,0.14010967741935484,0.12863870967741936,2000-10-16 00:00:00,1.2863870967741935,2.542622866666667
2000,11,2000-11-01,26.925,-80.85,0.00039494549500000004,0.014393333333333334,0.03132666666666667,0.019473333333333336,0.045720000000000004,0.027728333333333334,2000-11-15 12:00:00,0.2772833333333333,0.39494549500000004
2000,12,2000-12-01,26.925,-80.85,0.00037593588666666667,0.038509677419354835,0.027038709677419354,0.038509677419354835,0.022941935483870964,0.031749999999999994,2000-12-16 00:00:00,0.31749999999999995,0.37593588666666666
2001,1,2001-01-01,26.925,-80.85,0.00080706956,0.053258064516129036,0.03687096774193548,0.03932903225806452,0.07538064516129031,0.05120967741935484,2001-01-16 00:00:00,0.5120967741935484,0.8070695600000001
2001,2,2001-02-01,26.925,-80.85,0.000151875536,0.013607142857142858,0.0018142857142857142,0.0009071428571428571,0.012700000000000001,0.007257142857142857,2001-02-14 12:00:00,0.07257142857142856,0.15187553599999998
2001,3,2001-03-01,26.925,-80.85,0.004613521216666667,0.23925161290322577,0.053258064516129036,0.09012903225806451,0.25236129032258064,0.15875,2001-03-16 00:00:00,1.5875,4.613521216666667
2001,4,2001-04-01,26.925,-80.85,0.00041132847,0.055880000000000006,0.027093333333333334,0.013546666666666667,0.022013333333333333,0.029633333333333334,2001-04-15 12:00:00,0.29633333333333334,0.41132847
2001,5,2001-05-01,26.925,-80.85,0.002968428416666667,0.2662903225806451,0.06390967741935484,0.046703225806451615,0.5735483870967742,0.23761290322580644,2001-05-16 00:00:00,2.3761290322580644,2.968428416666667
2001,6,2001-06-01,26.925,-80.85,0.0034632801166666668,0.5452533333333334,0.14393333333333333,0.1016,0.09482666666666667,0.22140333333333334,2001-06-15 12:00:00,2.2140333333333335,3.4632801166666667
2001,7,2001-07-01,26.925,-80.85,0.006555265516666666,0.6440129032258065,0.3777225806451613,0.20811612903225807,0.6038645161290322,0.4584290322580646,2001-07-16 00:00:00,4.584290322580646,6.555265516666666
2001,8,2001-08-01,26.925,-80.85,0.0043302909666666665,0.5801032258064516,0.2867741935483871,0.24416774193548388,0.6530258064516129,0.4410177419354839,2001-08-16 00:00:00,4.410177419354839,4.3302909666666665
2001,9,2001-09-01,26.925,-80.85,0.011144074333333332,0.54102,0.4402666666666667,0.5545666666666667,0.8635999999999999,0.5998633333333333,2001-09-15 12:00:00,5.998633333333333,11.144074333333332
2001,10,2001-10-01,26.925,-80.85,0.00241343345,0.36625161290322583,0.04096774193548387,0.2253225806451613,0.36625161290322583,0.2496983870967742,2001-10-16 00:00:00,2.496983870967742,2.41343345
2001,11,2001-11-01,26.925,-80.85,0.0010676126933333334,0.08303846153846153,0.06604,0.03640666666666667,0.10498666666666669,0.06999111111111112,2001-11-15 12:00:00,0.6999111111111112,1.0676126933333334
2001,12,2001-12-01,26.925,-80.85,0.0008649289683333334,0.07112,0.023706666666666668,0.049161290322580646,0.0721032258064516,0.04998064516129029,2001-12-16 00:00:00,0.49980645161290294,0.8649289683333334
2002,1,2002-01-01,26.925,-80.85,0.0006400136433333334,0.09525,0.04834193548387097,0.00901290322580645,0.08029677419354839,0.05284838709677419,2002-01-16 00:00:00,0.5284838709677419,0.6400136433333333
2002,2,2002-02-01,26.925,-80.85,0.002854984566666667,0.0,0.09252857142857142,0.11702142857142858,0.16872857142857148,0.12397619047619048,2002-02-14 12:00:00,1.2397619047619048,2.854984566666667
2002,3,2002-03-01,26.925,-80.85,0.0007650475833333334,0.006554838709677419,0.00901290322580645,0.012262068965517242,0.02867741935483871,0.013929032258064512,2002-03-16 00:00:00,0.1392903225806451,0.7650475833333333
2002,4,2002-04-01,26.925,-80.85,0.0009335353083333334,0.09482666666666667,0.027940000000000003,0.08890000000000002,0.06688666666666668,0.06702777777777777,2002-04-15 12:00:00,0.6702777777777778,0.9335353083333333
2002,5,2002-05-01,26.925,-80.85,0.0021963494333333334,0.21958709677419355,0.04703703703703704,0.06718709677419354,0.13191612903225808,0.11593870967741936,2002-05-16 00:00:00,1.1593870967741935,2.1963494333333333
2002,6,2002-06-01,26.925,-80.85,0.0077638452,0.5266266666666667,0.49711428571428573,0.6036733333333333,0.6256866666666666,0.5554133333333334,2002-06-15 12:00:00,5.5541333333333345,7.7638452000000004
