time,lat,lon,tp
1992-06-01,27.05,-80.6,0.009275567
1992-06-01,26.8,-80.6,0.010718834
1992-07-01,27.05,-81.1,0.0027845453
1992-07-01,26.8,-81.1,0.0030092846
1992-07-01,27.05,-80.85,0.0017199765
1992-07-01,26.8,-80.85,0.0019453417
1992-07-01,27.05,-80.6,0.001495267
1992-07-01,26.8,-80.6,0.0020170163
1992-08-01,27.05,-81.1,0.0066165775
1992-08-01,26.8,-81.1,0.0067676157
1992-08-01,27.05,-80.85,0.004973218
1992-08-01,26.8,-80.85,0.0053248256
1992-08-01,27.05,-80.6,0.004703924
1992-08-01,26.8,-80.6,0.005468592
1992-09-01,27.05,-81.1,0.0037207957
1992-09-01,26.8,-81.1,0.0036588814
1992-09-01,27.05,-80.85,0.0037108865
1992-09-01,26.8,-80.85,0.0036490764
1992-09-01,27.05,-80.6,0.0038794186
1992-09-01,26.8,-80.6,0.0042629745
1992-10-01,27.05,-81.1,0.0008383959
1992-10-01,26.8,-81.1,0.0008591737
1992-10-01,27.05,-80.85,0.0007628992
1992-10-01,26.8,-80.85,0.00075531076
1992-10-01,27.05,-80.6,0.00083196233
1992-10-01,26.8,-80.6,0.00077971513
1992-11-01,27.05,-81.1,0.0015090376
1992-11-01,26.8,-81.1,0.0018704503
1992-11-01,27.05,-80.85,0.0020562082
1992-11-01,26.8,-80.85,0.002360639
1992-11-01,27.05,-80.6,0.003151682
1992-11-01,26.8,-80.6,0.0026130646
1992-12-01,27.05,-81.1,0.000172989
1992-12-01,26.8,-81.1,0.00012453788
1992-12-01,27.05,-80.85,0.0002364754
1992-12-01,26.8,-80.85,0.0002027727
1992-12-01,27.05,-80.6,0.00032197827
1992-12-01,26.8,-80.6,0.0002891361
1993-01-01,27.05,-81.1,0.004512988
1993-01-01,26.8,-81.1,0.004229434
1993-01-01,27.05,-80.85,0.004574381
1993-01-01,26.8,-80.85,0.0043037757
1993-01-01,27.05,-80.6,0.00466568
1993-01-01,26.8,-80.6,0.004586704
1993-02-01,27.05,-81.1,0.0018580377
1993-02-01,26.8,-81.1,0.0013821393
1993-02-01,27.05,-80.85,0.0018675595
1993-02-01,26.8,-80.85,0.0013625443
1993-02-01,27.05,-80.6,0.0016760647
1993-02-01,26.8,-80.6,0.0015337437
1993-03-01,27.05,-81.1,0.0036422536
1993-03-01,26.8,-81.1,0.003109388
1993-03-01,27.05,-80.85,0.0037648603
1993-03-01,26.8,-80.85,0.0032346472
1993-03-01,27.05,-80.6,0.004130177
1993-03-01,26.8,-80.6,0.0037185177
1993-04-01,27.05,-81.1,0.00091276877
1993-04-01,26.8,-81.1,0.0010061134
1993-04-01,27.05,-80.85,0.0007976163
1993-04-01,26.8,-80.85,0.0008781869
1993-04-01,27.05,-80.6,0.0008945558
1993-04-01,26.8,-80.6,0.000938816
1993-05-01,27.05,-81.1,0.0017600993
1993-05-01,26.8,-81.1,0.002077047
1993-05-01,27.05,-80.85,0.0013036767
1993-05-01,26.8,-80.85,0.0014971832
1993-05-01,27.05,-80.6,0.0010310451
1993-05-01,26.8,-80.6,0.0011803249
1993-06-01,27.05,-81.1,0.0026702352
1993-06-01,26.8,-81.1,0.0024801411
1993-06-01,27.05,-80.85,0.0019019165
1993-06-01,26.8,-80.85,0.0017710396
1993-06-01,27.05,-80.6,0.0017728873
1993-06-01,26.8,-80.6,0.0020066865
1993-07-01,27.05,-81.1,0.0045843553
1993-07-01,26.8,-81.1,0.0048305225
1993-07-01,27.05,-80.85,0.0029710361
1993-07-01,26.8,-80.85,0.0032681653
1993-07-01,27.05,-80.6,0.0026205012
1993-07-01,26.8,-80.6,0.0034252831
1993-08-01,27.05,-81.1,0.004907767
1993-08-01,26.8,-81.1,0.005089859
1993-08-01,27.05,-80.85,0.003676156
1993-08-01,26.8,-80.85,0.0038896897
1993-08-01,27.05,-80.6,0.0034831562
1993-08-01,26.8,-80.6,0.00444446
1993-09-01,27.05,-81.1,0.0046852
1993-09-01,26.8,-81.1,0.0052527254
1993-09-01,27.05,-80.85,0.0037761696
1993-09-01,26.8,-80.85,0.0043410426
1993-09-01,27.05,-80.6,0.0035815604
1993-09-01,26.8,-80.6,0.0041846996
1993-10-01,27.05,-81.1,0.004838597
1993-10-01,26.8,-81.1,0.0053429417
1993-10-01,27.05,-80.85,0.004496958
1993-10-01,26.8,-80.85,0.0049457066
1993-10-01,27.05,-80.6,0.004398983
1993-10-01,26.8,-80.6,0.004959058
1993-11-01,27.05,-81.1,0.00053019566
1993-11-01,26.8,-81.1,0.0005336527
1993-11-01,27.05,-80.85,0.0006789018
1993-11-01,26.8,-80.85,0.00070387614
1993-11-01,27.05,-80.6,0.00085490686
1993-11-01,26.8,-80.6,0.0008716483
1993-12-01,27.05,-81.1,0.00045658997
1993-12-01,26.8,-81.1,0.00041810772
1993-12-01,27.05,-80.85,0.000783365
1993-12-01,26.8,-80.85,0.0007195284
1993-12-01,27.05,-80.6,0.0008545255
1993-12-01,26.8,-80.6,0.00077824644
1994-01-01,27.05,-81.1,0.0022492493
1994-01-01,26.8,-81.1,0.0021305317
1994-01-01,27.05,-80.85,0.002415874
1994-01-01,26.8,-80.85,0.0022903914
1994-01-01,27.05,-80.6,0.002311089
1994-01-01,26.8,-80.6,0.0023805657
1994-02-01,27.05,-81.1,0.0023667617
1994-02-01,26.8,-81.1,0.0022772653
1994-02-01,27.05,-80.85,0.002860914
1994-02-01,26.8,-80.85,0.002709399
1994-02-01,27.05,-80.6,0.00339673
1994-02-01,26.8,-80.6,0.0030971868
1994-03-01,27.05,-81.1,0.001733721
1994-03-01,26.8,-81.1,0.0017031364
1994-03-01,27.05,-80.85,0.0018103577
1994-03-01,26.8,-80.85,0.0017914406
1994-03-01,27.05,-80.6,0.0020624853
1994-03-01,26.8,-80.6,0.0021275587
1994-04-01,27.05,-81.1,0.002081935
1994-04-01,26.8,-81.1,0.0019974678
1994-04-01,27.05,-80.85,0.0017212301
1994-04-01,26.8,-80.85,0.0016287982
1994-04-01,27.05,-80.6,0.0018538206
1994-04-01,26.8,-80.6,0.0017855137
1994-05-01,27.05,-81.1,0.0029024964
1994-05-01,26.8,-81.1,0.0029774567
1994-05-01,27.05,-80.85,0.0027305295
1994-05-01,26.8,-80.85,0.0028387492
1994-05-01,27.05,-80.6,0.0026607027
1994-05-01,26.8,-80.6,0.0029607674
1994-06-01,27.05,-81.1,0.007127486
1994-06-01,26.8,-81.1,0.0073493943
1994-06-01,27.05,-80.85,0.0054382905
1994-06-01,26.8,-80.85,0.005533777
1994-06-01,27.05,-80.6,0.004908286
1994-06-01,26.8,-80.6,0.004930578
1994-07-01,27.05,-81.1,0.005803089
1994-07-01,26.8,-81.1,0.0065045166
1994-07-01,27.05,-80.85,0.0038386392
1994-07-01,26.8,-80.85,0.004744153
1994-07-01,27.05,-80.6,0.0038800049
1994-07-01,26.8,-80.6,0.004783015
1994-08-01,27.05,-81.1,0.0049250936
1994-08-01,26.8,-81.1,0.005351386
1994-08-01,27.05,-80.85,0.004074416
1994-08-01,26.8,-80.85,0.00447487
1994-08-01,27.05,-80.6,0.0038412428
1994-08-01,26.8,-80.6,0.0043482697
1994-09-01,27.05,-81.1,0.008216489
1994-09-01,26.8,-81.1,0.007941116
1994-09-01,27.05,-80.85,0.0064846165
1994-09-01,26.8,-80.85,0.0063275583
1994-09-01,27.05,-80.6,0.0059892423
1994-09-01,26.8,-80.6,0.006716896
1994-10-01,27.05,-81.1,0.0025467095
1994-10-01,26.8,-81.1,0.0027942848
1994-10-01,27.05,-80.85,0.002363306
1994-10-01,26.8,-80.85,0.0026966822
1994-10-01,27.05,-80.6,0.002341431
1994-10-01,26.8,-80.6,0.0027615097
1994-11-01,27.05,-81.1,0.002182804
1994-11-01,26.8,-81.1,0.0019778237
1994-11-01,27.05,-80.85,0.0028161332
1994-11-01,26.8,-80.85,0.0025173351
1994-11-01,27.05,-80.6,0.0031849071
1994-11-01,26.8,-80.6,0.002571486
1994-12-01,27.05,-81.1,0.0024486315
1994-12-01,26.8,-81.1,0.0023132171
1994-12-01,27.05,-80.85,0.0025885683
1994-12-01,26.8,-80.85,0.0024738666
1994-12-01,27.05,-80.6,0.0026317742
1994-12-01,26.8,-80.6,0.00259169
1995-01-01,27.05,-81.1,0.0037179966
1995-01-01,26.8,-81.1,0.0032723923
1995-01-01,27.05,-80.85,0.003130414
1995-01-01,26.8,-80.85,0.002651014
1995-01-01,27.05,-80.6,0.0026926775
1995-01-01,26.8,-80.6,0.002350547
1995-02-01,27.05,-81.1,0.0014296852
1995-02-01,26.8,-81.1,0.0013933468
1995-02-01,27.05,-80.85,0.0014813512
1995-02-01,26.8,-80.85,0.0014049436
1995-02-01,27.05,-80.6,0.0014732152
1995-02-01,26.8,-80.6,0.0014911171
1995-03-01,27.05,-81.1,0.0020434118
1995-03-01,26.8,-81.1,0.0022356964
1995-03-01,27.05,-80.85,0.002281726
1995-03-01,26.8,-80.85,0.0024435378
1995-03-01,27.05,-80.6,0.0024522848
1995-03-01,26.8,-80.6,0.0025516308
1995-04-01,27.05,-81.1,0.0041308394
1995-04-01,26.8,-81.1,0.003579556
1995-04-01,27.05,-80.85,0.003980606
1995-04-01,26.8,-80.85,0.003547608
1995-04-01,27.05,-80.6,0.003817617
1995-04-01,26.8,-80.6,0.004003643
1995-05-01,27.05,-81.1,0.0009071117
1995-05-01,26.8,-81.1,0.0009842028
1995-05-01,27.05,-80.85,0.0008598303
1995-05-01,26.8,-80.85,0.0009346043
1995-05-01,27.05,-80.6,0.0009674316
1995-05-01,26.8,-80.6,0.0011435559
1995-06-01,27.05,-81.1,0.006221112
1995-06-01,26.8,-81.1,0.0062790327
1995-06-01,27.05,-80.85,0.0058104508
1995-06-01,26.8,-80.85,0.005915951
1995-06-01,27.05,-80.6,0.0061142705
1995-06-01,26.8,-80.6,0.0066987686
1995-07-01,27.05,-81.1,0.0063025206
1995-07-01,26.8,-81.1,0.006214425
1995-07-01,27.05,-80.85,0.0048817843
1995-07-01,26.8,-80.85,0.0050078183
1995-07-01,27.05,-80.6,0.004595086
1995-07-01,26.8,-80.6,0.004907921
1995-08-01,27.05,-81.1,0.006492872
1995-08-01,26.8,-81.1,0.006224517
1995-08-01,27.05,-80.85,0.00615466
1995-08-01,26.8,-80.85,0.00582603
1995-08-01,27.05,-80.6,0.005902875
1995-08-01,26.8,-80.6,0.005864162
1995-09-01,27.05,-81.1,0.00543702
1995-09-01,26.8,-81.1,0.0056947805
1995-09-01,27.05,-80.85,0.0046953894
1995-09-01,26.8,-80.85,0.0049357153
1995-09-01,27.05,-80.6,0.0039731897
1995-09-01,26.8,-80.6,0.004636798
1995-10-01,27.05,-81.1,0.0058266222
1995-10-01,26.8,-81.1,0.00575915
1995-10-01,27.05,-80.85,0.005671054
1995-10-01,26.8,-80.85,0.0055018663
1995-10-01,27.05,-80.6,0.0072099864
1995-10-01,26.8,-80.6,0.0064139366
1995-11-01,27.05,-81.1,0.0005504538
1995-11-01,26.8,-81.1,0.0005722132
1995-11-01,27.05,-80.85,0.00055159745
1995-11-01,26.8,-80.85,0.0005813737
1995-11-01,27.05,-80.6,0.0005661112
1995-11-01,26.8,-80.6,0.00073084724
1995-12-01,27.05,-81.1,0.0005996856
1995-12-01,26.8,-81.1,0.00069997786
1995-12-01,27.05,-80.85,0.000666413
1995-12-01,26.8,-80.85,0.00078434823
1995-12-01,27.05,-80.6,0.0007339935
1995-12-01,26.8,-80.6,0.00080951257
1996-01-01,27.05,-81.1,0.0037054217
1996-01-01,26.8,-81.1,0.0034100509
1996-01-01,27.05,-80.85,0.0037050343
1996-01-01,26.8,-80.85,0.0033484942
1996-01-01,27.05,-80.6,0.003582651
1996-01-01,26.8,-80.6,0.0031406826
1996-02-01,27.05,-81.1,0.0002998279
1996-02-01,26.8,-81.1,0.00033837347
1996-02-01,27.05,-80.85,0.00039439066
1996-02-01,26.8,-80.85,0.0004391165
1996-02-01,27.05,-80.6,0.00035705208
1996-02-01,26.8,-80.6,0.00043301447
1996-03-01,27.05,-81.1,0.003522438
1996-03-01,26.8,-81.1,0.0029511275
1996-03-01,27.05,-80.85,0.0043167295
1996-03-01,26.8,-80.85,0.003757936
1996-03-01,27.05,-80.6,0.0050598206
1996-03-01,26.8,-80.6,0.0045056166
1996-04-01,27.05,-81.1,0.0017173972
1996-04-01,26.8,-81.1,0.002041408
1996-04-01,27.05,-80.85,0.0015999537
1996-04-01,26.8,-80.85,0.0019410041
1996-04-01,27.05,-80.6,0.0018471715
1996-04-01,26.8,-80.6,0.002073319
1996-05-01,27.05,-81.1,0.0039954344
1996-05-01,26.8,-81.1,0.0043900767
1996-05-01,27.05,-80.85,0.0031863314
1996-05-01,26.8,-80.85,0.0037334722
1996-05-01,27.05,-80.6,0.0032223922
1996-05-01,26.8,-80.6,0.004026697
1996-06-01,27.05,-81.1,0.0063500293
1996-06-01,26.8,-81.1,0.0062230416
1996-06-01,27.05,-80.85,0.0049857385
1996-06-01,26.8,-80.85,0.005172301
1996-06-01,27.05,-80.6,0.004993815
1996-06-01,26.8,-80.6,0.0056836493
1996-07-01,27.05,-81.1,0.0030371204
1996-07-01,26.8,-81.1,0.0030091063
1996-07-01,27.05,-80.85,0.0022032217
1996-07-01,26.8,-80.85,0.002214636
1996-07-01,27.05,-80.6,0.0018935457
1996-07-01,26.8,-80.6,0.0021589652
1996-08-01,27.05,-81.1,0.004713336
1996-08-01,26.8,-81.1,0.0045888815
1996-08-01,27.05,-80.85,0.003003577
1996-08-01,26.8,-80.85,0.003050009
1996-08-01,27.05,-80.6,0.0027133024
1996-08-01,26.8,-80.6,0.0031224287
1996-09-01,27.05,-81.1,0.0038662574
1996-09-01,26.8,-81.1,0.0040018875
1996-09-01,27.05,-80.85,0.0031490347
1996-09-01,26.8,-80.85,0.0034213087
1996-09-01,27.05,-80.6,0.0026545546
1996-09-01,26.8,-80.6,0.0031063578
1996-10-01,27.05,-81.1,0.0035101261
1996-10-01,26.8,-81.1,0.0032525149
1996-10-01,27.05,-80.85,0.0035349142
1996-10-01,26.8,-80.85,0.0032039147
1996-10-01,27.05,-80.6,0.003466734
1996-10-01,26.8,-80.6,0.003520013
1996-11-01,27.05,-81.1,0.00017126762
1996-11-01,26.8,-81.1,0.00015488379
1996-11-01,27.05,-80.85,0.00022693463
1996-11-01,26.8,-80.85,0.00021479018
1996-11-01,27.05,-80.6,0.0002742905
1996-11-01,26.8,-80.6,0.00029600522
1996-12-01,27.05,-81.1,0.0003307152
1996-12-01,26.8,-81.1,0.0003578465
1996-12-01,27.05,-80.85,0.00047713402
1996-12-01,26.8,-80.85,0.0005078006
1996-12-01,27.05,-80.6,0.00054933387
1996-12-01,26.8,-80.6,0.00056956965
1997-01-01,27.05,-81.1,0.0012701906
1997-01-01,26.8,-81.1,0.0011234514
1997-01-01,27.05,-80.85,0.0013716153
1997-01-01,26.8,-80.85,0.0013005293
1997-01-01,27.05,-80.6,0.0014179132
1997-01-01,26.8,-80.6,0.0014602996
1997-02-01,27.05,-81.1,0.0011950715
1997-02-01,26.8,-81.1,0.0010688661
1997-02-01,27.05,-80.85,0.0010890646
1997-02-01,26.8,-80.85,0.001000969
1997-02-01,27.05,-80.6,0.0012890084
1997-02-01,26.8,-80.6,0.001354052
1997-03-01,27.05,-81.1,0.001314153
1997-03-01,26.8,-81.1,0.0011607977
1997-03-01,27.05,-80.85,0.0011551501
1997-03-01,26.8,-80.85,0.0010169344
1997-03-01,27.05,-80.6,0.001016927
1997-03-01,26.8,-80.6,0.0011484819
